id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,,
4224,1747,Visa,Debit,4795724941278910,Feb-22,136,YES,2,$14548,Aug-07,2013,,
4895,1747,Mastercard,Credit,5300159511214990,Dec-16,740,YES,2,$10100,Sep-16,2016,,
1028,153,Discover,Credit,6580244636542190,Apr-11,416,YES,1,$11200,Feb-04,2008,,
5956,153,Mastercard,Debit,5032457975030960,Oct-24,240,YES,2,$20291,Dec-09,2011,,
107,153,Visa,Debit,4382324870900900,Aug-18,852,YES,1,$32092,Jan-06,2010,,
440,153,Mastercard,Debit,5456808094753900,Feb-20,217,YES,1,$20463,Jan-20,2020,,
746,429,Visa,Debit,4465362453388900,Aug-22,738,YES,1,$15802,Jan-20,2020,,
1769,429,Visa,Debit,4668447208616690,Feb-20,314,NO,2,$4612,Feb-20,2020,,
421,429,Discover,Credit,6377595394803320,Jul-20,675,YES,2,$19900,Jan-20,2020,,
974,511,Mastercard,Debit (Prepaid),5117090980312400,Oct-20,42,YES,1,$73,Feb-00,2012,,
4707,511,Mastercard,Debit,5377858405611170,Jan-24,24,YES,1,$11858,Sep-09,2010,,
7,511,Mastercard,Debit,5585238056278280,Mar-05,749,YES,1,$9664,Jan-98,2011,,
2212,511,Mastercard,Debit,5355281784290560,Jun-20,810,YES,1,$8367,Mar-09,2009,,
1038,511,Visa,Credit,4150093118072730,Jun-22,135,YES,2,$6100,Feb-04,2009,,
1460,309,Mastercard,Debit,5979295728871780,Feb-20,630,YES,3,$9944,Feb-20,2020,,
747,309,Visa,Credit,4473643731469830,Jan-20,771,YES,1,$7900,Jan-20,2020,,
1770,309,Visa,Credit,4800116569994470,Dec-20,201,YES,1,$5600,Feb-20,2020,,
748,777,Visa,Debit,4832328468851060,Aug-23,580,YES,1,$68400,Jan-20,2020,,
441,777,Mastercard,Debit,5278075482033390,Apr-23,437,YES,2,$77237,Jan-20,2020,,
3679,1946,Visa,Debit,4869845530765330,Aug-24,701,YES,2,$4488,Jul-02,2015,,
5701,1946,Visa,Credit,4231526239204030,Feb-20,499,YES,2,$12500,Nov-14,2014,,
4510,1674,Mastercard,Debit,5813611925507600,Dec-20,734,YES,2,$23432,Sep-01,2008,,
2873,1674,Amex,Credit,366520954874839,May-22,447,YES,2,$8800,May-05,2011,,
1461,482,Mastercard,Credit,5392697458480960,Feb-20,886,YES,2,$12100,Feb-20,2020,,
442,877,Mastercard,Debit,5048151330736420,Feb-20,931,YES,1,$9708,Jan-20,2020,,
3877,877,Amex,Credit,371643368691556,Nov-21,683,YES,2,$12000,Jul-09,2011,,
2296,877,Mastercard,Debit,5700734711260260,Nov-23,230,YES,1,$11973,Mar-12,2012,,
5048,128,Mastercard,Debit,5389442391430670,Feb-22,658,YES,2,$13601,Oct-06,2014,,
1462,128,Mastercard,Credit,5079116875907420,Jan-24,849,YES,2,$7800,Feb-20,2020,,
4269,775,Visa,Debit,4390425683290560,Oct-23,790,YES,2,$17816,Aug-08,2016,,
5188,1536,Mastercard,Debit,5217568630125700,Mar-21,625,NO,2,$17707,Oct-10,2010,,
2874,1536,Amex,Credit,397856635669220,Nov-20,2,YES,1,$9500,May-05,2009,,
3041,140,Mastercard,Debit,5529182104663860,Jan-22,182,YES,1,$19110,May-10,2011,,
5312,140,Mastercard,Debit,5489017664251280,Aug-23,196,YES,1,$13428,Oct-16,2016,,
4150,140,Mastercard,Debit,5793675314684780,Jun-22,43,YES,1,$24608,Aug-05,2009,,
152,140,Mastercard,Debit,5845373196638990,Sep-22,111,YES,1,$13441,Jan-08,2011,,
443,1884,Mastercard,Debit (Prepaid),5750288075891800,Feb-20,788,YES,2,$74,Jan-20,2020,,
3377,1874,Mastercard,Debit,5429789020188280,Oct-12,674,YES,1,$17872,Jun-08,2008,,
5789,1874,Mastercard,Credit,5301114615829910,Sep-22,425,YES,1,$12900,Dec-03,2010,,
2106,1874,Mastercard,Debit,5571104183564020,May-24,52,YES,2,$25264,Mar-06,2020,,
2078,1874,Mastercard,Debit,5401948301255030,Dec-22,920,YES,2,$20634,Mar-05,2007,,
5866,1310,Visa,Credit,4295364044956970,Apr-07,656,YES,2,$12200,Dec-06,2010,,
173,1310,Visa,Credit,4737484014371340,Feb-10,221,YES,2,$5500,Jan-08,2008,,
1771,1689,Visa,Credit,4509365132510760,Mar-20,281,NO,2,$6600,Feb-20,2020,,
6132,1689,Mastercard,Debit,5068255294282300,Nov-20,890,YES,1,$25815,Dec-17,2017,,
327,379,Amex,Credit,354813103334804,Jun-21,527,YES,2,$8400,Jan-14,2014,,
2019,379,Mastercard,Debit,5910929635230860,Feb-20,525,YES,1,$21628,Mar-01,2008,,
3881,379,Mastercard,Debit,5400182448188960,Oct-21,412,YES,1,$24232,Jul-09,2009,,
1166,34,Mastercard,Debit,5039048842448180,Nov-23,339,YES,2,$10775,Feb-09,2010,,
3342,34,Mastercard,Debit (Prepaid),5672012369002300,Feb-20,598,YES,2,$105,Jun-07,2013,,
5622,822,Visa,Credit,4336733185475860,Jan-21,221,NO,2,$7100,Nov-10,2010,,
5424,822,Mastercard,Debit,5985582173054290,Jul-24,951,YES,1,$29351,Nov-05,2007,,
2558,822,Mastercard,Debit,5281056728185170,Mar-20,835,YES,2,$15125,Apr-08,2012,,
5385,822,Mastercard,Credit,5615660494634700,Nov-21,865,YES,2,$8000,Nov-03,2008,,
5596,822,Mastercard,Debit (Prepaid),5314878099448740,May-11,994,YES,1,$83,Nov-10,2010,,
3991,1499,Amex,Credit,311095486859536,Jan-24,536,YES,2,$23700,Jul-12,2012,,
6126,1780,Visa,Credit,4624747592911120,Feb-24,986,YES,2,$700,Dec-16,2016,,
3756,1806,Mastercard,Debit,5595562388674400,Jul-24,594,YES,2,$7488,Jul-06,2016,,
971,811,Visa,Credit,4171022488649330,Jan-02,225,NO,1,$24900,Feb-99,2010,,
2079,811,Mastercard,Debit,5246337038556760,Jun-21,638,YES,2,$30971,Mar-05,2020,,
387,811,Amex,Credit,399966116933253,Jan-24,343,YES,1,$24400,Jan-20,2020,,
444,811,Mastercard,Debit,5064137987234660,Feb-20,599,YES,2,$53549,Jan-20,2020,,
5277,811,Visa,Debit,4905540969337030,Sep-18,573,YES,1,$53036,Oct-13,2013,,
4358,811,Mastercard,Debit,5703849820939460,Dec-24,300,YES,1,$35750,Aug-11,2011,,
2318,811,Visa,Debit,4055403312631050,Jul-21,902,YES,1,$33375,Mar-13,2013,,
6019,1844,Visa,Debit (Prepaid),4587476056357150,Jul-23,858,YES,2,$22,Dec-10,2010,,
4421,1844,Discover,Credit,6521426249819190,Nov-20,608,YES,1,$13100,Aug-14,2014,,
3702,1844,Visa,Debit,4199712815274630,Oct-24,440,YES,1,$16516,Jul-03,2011,,
2854,1844,Mastercard,Credit,5172743861765170,Jul-16,906,YES,1,$15700,May-04,2011,,
4114,1844,Mastercard,Debit,5214643602729090,May-24,474,YES,1,$21058,Aug-03,2007,,
28,1852,Visa,Debit,4013876625955760,Oct-23,543,YES,2,$36425,Jan-02,2004,,
6127,1852,Visa,Debit (Prepaid),4966050979388900,Mar-21,585,YES,2,$91,Dec-16,2016,,
2477,1852,Mastercard,Credit,5247576622089390,Sep-21,379,YES,1,$13400,Apr-05,2014,,
2632,1852,Mastercard,Credit,5911319900289830,Apr-21,37,YES,2,$21600,Apr-10,2010,,
1463,1231,Mastercard,Debit,5058769177189800,Feb-20,12,NO,1,$9090,Feb-20,2020,,
5679,970,Visa,Debit,4682877628388630,Feb-23,846,NO,1,$25942,Nov-12,2012,,
1012,970,Mastercard,Credit,5882842508952740,Jul-19,614,YES,2,$10700,Feb-03,2013,,
1464,970,Mastercard,Credit,5637149260486790,Jul-22,630,YES,2,$4900,Feb-20,2020,,
1465,381,Mastercard,Credit,5115700923413240,Apr-22,587,NO,1,$18100,Feb-20,2020,,
388,1134,Amex,Credit,324640473359364,Mar-24,659,YES,2,$7200,Jan-20,2020,,
3708,1296,Mastercard,Debit,5033428838471720,Feb-20,546,YES,2,$22660,Jul-04,2007,,
3087,1296,Discover,Credit,6969946254132650,Dec-22,588,YES,1,$19800,May-11,2011,,
67,1296,Mastercard,Credit,5181226307106930,Nov-24,820,YES,2,$15500,Jan-05,2014,,
80,1296,Visa,Debit (Prepaid),4310689470082080,Jun-23,458,YES,1,$13,Jan-05,2008,,
3665,1296,Mastercard,Debit,5051066154001740,Jun-21,526,YES,2,$4317,Jul-01,2011,,
2014,1880,Mastercard,Debit,5456915066505060,Dec-21,553,NO,1,$14719,Mar-00,2008,,
4906,1880,Mastercard,Debit,5132664334960880,May-21,593,YES,1,$9532,Sep-17,2017,,
3757,1880,Mastercard,Credit,5752873844240560,Mar-20,486,YES,1,$10900,Jul-06,2014,,
5365,322,Mastercard,Credit,5494228198326750,Sep-24,428,YES,2,$6200,Nov-01,2012,,
5425,322,Mastercard,Debit,5789639625525450,Dec-12,43,YES,2,$2903,Nov-05,2011,,
5758,322,Mastercard,Debit,5392957769023380,Oct-20,803,YES,2,$4355,Dec-99,2010,,
5482,461,Mastercard,Debit,5182820825620430,Apr-21,126,YES,1,$28963,Nov-07,2012,,
3172,461,Mastercard,Debit,5102353988152900,Dec-22,667,YES,2,$20913,May-16,2016,,
1209,461,Mastercard,Debit,5033135709911480,Jul-24,170,YES,1,$23344,Feb-10,2010,,
5313,461,Mastercard,Debit,5611522756791990,Jan-20,882,YES,2,$33642,Oct-16,2016,,
4762,1165,Mastercard,Debit,5037404409791940,Jan-22,681,YES,1,$14695,Sep-10,2011,,
126,1448,Mastercard,Credit,5571363047071890,Sep-23,510,YES,1,$13200,Jan-07,2015,,
4685,1448,Visa,Debit,4083033843851770,Jan-20,173,YES,1,$29950,Sep-08,2013,,
5907,1448,Visa,Credit,4829916759482890,Jul-24,768,YES,2,$4600,Dec-07,2011,,
2428,1288,Mastercard,Debit,5458492483408540,Dec-22,92,YES,1,$10051,Apr-02,2011,,
1013,1288,Mastercard,Debit,5879094230635420,Dec-15,729,YES,2,$9796,Feb-03,2013,,
5145,1178,Mastercard,Debit,5769435406360320,Oct-21,957,YES,1,$17826,Oct-09,2009,,
5854,1178,Mastercard,Debit,5588799529406910,Nov-24,778,YES,1,$19086,Dec-06,2009,,
5296,1178,Visa,Debit,4410685608952630,Jun-24,265,YES,2,$17345,Oct-14,2014,,
1327,1178,Visa,Debit,4470822684089910,Sep-20,923,YES,2,$17976,Feb-13,2013,,
383,1178,Visa,Debit,4804338444306720,Jan-22,279,YES,2,$16447,Jan-19,2019,,
5129,1391,Visa,Debit,4194362281636450,Oct-24,271,YES,2,$29573,Oct-08,2009,,
5995,1391,Mastercard,Debit (Prepaid),5436469451844820,Dec-21,48,YES,2,$98,Dec-10,2010,,
4107,1391,Mastercard,Debit,5648865641388290,Aug-19,71,YES,2,$2559,Aug-02,2012,,
36,1391,Mastercard,Debit,5914243757284140,Oct-12,436,YES,2,$6552,Jan-03,2010,,
445,838,Mastercard,Credit,5193780952753620,Jan-21,591,YES,2,$13800,Jan-20,2020,,
1466,54,Mastercard,Debit,5957925302951750,Aug-20,746,YES,1,$16375,Feb-20,2020,,
749,54,Visa,Debit,4557061225558440,May-23,780,YES,1,$14213,Jan-20,2020,,
1772,54,Visa,Debit (Prepaid),4883222888293060,Sep-20,2,YES,1,$73,Feb-20,2020,,
3801,1452,Mastercard,Debit,5476407228285230,Nov-22,688,YES,2,$53466,Jul-07,2013,,
282,1602,Visa,Credit,4698943729070490,Sep-20,450,YES,1,$6600,Jan-11,2013,,
6105,1602,Mastercard,Credit,5579147219556300,Jun-22,806,NO,2,$7200,Dec-15,2015,,
446,1938,Mastercard,Debit,5099614207935760,Nov-20,856,YES,1,$2868,Jan-20,2020,,
422,1938,Discover,Credit,6177503172021500,May-24,97,YES,1,$3400,Jan-20,2020,,
5231,1492,Mastercard,Debit,5188130978534930,Jan-22,446,YES,1,$12915,Oct-11,2013,,
2615,1492,Visa,Debit (Prepaid),4860320285002450,Dec-23,366,YES,2,$84,Apr-09,2017,,
2776,1492,Discover,Credit,6417599205270840,Jul-21,504,YES,2,$17600,Apr-18,2018,,
5452,1492,Mastercard,Debit,5516722949603670,Dec-12,621,YES,1,$31542,Nov-06,2009,,
3563,1492,Mastercard,Debit,5891053637541510,Feb-22,362,YES,2,$23049,Jun-13,2013,,
6134,1492,Visa,Debit,4222570131769030,May-20,141,YES,1,$29734,Dec-17,2017,,
4818,1492,Visa,Credit,4453742478192140,Jan-20,346,YES,2,$27000,Sep-11,2016,,
2171,1492,Mastercard,Debit (Prepaid),5335984658439100,Nov-22,320,YES,1,$18,Mar-08,2010,,
6106,688,Mastercard,Debit,5708150083756690,Apr-23,824,YES,1,$17848,Dec-15,2015,,
3042,688,Mastercard,Debit,5238684130320060,Nov-22,870,NO,1,$25563,May-10,2010,,
5209,688,Visa,Credit,4740880792169370,Apr-20,168,YES,2,$12000,Oct-10,2010,,
1296,688,Amex,Credit,361648729239104,Nov-18,709,NO,2,$6600,Feb-12,2012,,
389,749,Amex,Credit,363305614201313,Sep-23,943,NO,1,$5600,Jan-20,2020,,
1773,749,Visa,Debit,4360859456629850,Nov-22,428,YES,3,$11873,Feb-20,2020,,
1467,749,Mastercard,Credit,5498016831726770,Feb-20,871,YES,1,$7200,Feb-20,2020,,
1395,643,Amex,Credit,381572912003735,Aug-24,145,YES,1,$10000,Feb-20,2020,,
5597,643,Mastercard,Credit,5079302523329050,Apr-23,381,YES,2,$500,Nov-10,2010,,
1468,1219,Mastercard,Debit,5546998350637120,Feb-20,718,YES,1,$22697,Feb-20,2020,,
2309,1219,Mastercard,Credit,5326031764905960,Aug-23,437,YES,1,$18000,Mar-13,2013,,
3466,1219,Mastercard,Debit,5096150037217370,Oct-24,862,YES,1,$32903,Jun-10,2010,,
2804,1198,Visa,Debit,4489873116412360,Aug-21,547,YES,2,$12764,May-99,2010,,
1388,1198,Mastercard,Credit,5621725368325860,Oct-22,60,YES,1,$6300,Feb-19,2019,,
4660,898,Mastercard,Debit,5923138803280580,Feb-22,934,YES,2,$7541,Sep-08,2013,,
3356,898,Visa,Debit,4447989421793040,Mar-22,995,YES,2,$1266,Jun-07,2012,,
4870,898,Mastercard,Credit,5000307662634780,Apr-20,263,NO,1,$9500,Sep-14,2014,,
3467,882,Mastercard,Debit,5707305515533510,Apr-20,203,YES,2,$1837,Jun-10,2010,,
1079,882,Mastercard,Debit,5864987017850550,Aug-23,258,YES,2,$17453,Feb-06,2008,,
2977,348,Visa,Debit,4228885239928180,Oct-13,543,NO,1,$28283,May-08,2012,,
3073,348,Visa,Credit,4210237285941910,Apr-20,160,YES,1,$13500,May-10,2012,,
3554,348,Visa,Credit,4877073763902890,Jul-14,786,YES,2,$13300,Jun-12,2012,,
2597,633,Mastercard,Debit,5558040779986500,Sep-21,69,YES,2,$17941,Apr-09,2009,,
3489,1493,Visa,Credit,4642496218651970,Apr-18,594,YES,1,$14400,Jun-10,2012,,
4003,1493,Visa,Credit,4244401907291510,Apr-20,120,YES,1,$4400,Jul-12,2012,,
1469,1493,Mastercard,Credit,5157439545898690,Mar-20,657,YES,1,$13000,Feb-20,2020,,
1774,1493,Visa,Debit,4079516725179260,Apr-23,72,YES,2,$22701,Feb-20,2020,,
1470,1161,Mastercard,Credit,5597117503471640,Aug-24,934,NO,1,$16100,Feb-20,2020,,
1471,1161,Mastercard,Debit,5808372218918200,Sep-23,138,YES,2,$7629,Feb-20,2020,,
2691,217,Mastercard,Debit,5565497732362120,Mar-22,430,NO,1,$16538,Apr-12,2012,,
174,217,Visa,Debit,4072893581482200,Dec-20,578,YES,2,$22746,Jan-08,2010,,
1364,217,Mastercard,Debit,5161929618424760,Jul-16,743,YES,1,$9737,Feb-16,2016,,
1266,217,Mastercard,Credit,5359358098670030,Jul-19,428,YES,1,$6500,Feb-11,2014,,
1267,217,Mastercard,Debit,5093514487076210,Jun-20,889,YES,2,$2650,Feb-11,2013,,
207,217,Visa,Credit,4409790595650710,May-12,839,YES,2,$8200,Jan-09,2011,,
5448,217,Amex,Credit,373325875666765,Jan-22,204,YES,2,$6200,Nov-06,2013,,
5449,1877,Amex,Credit,366837170672753,Jan-21,803,YES,2,$22600,Nov-06,2014,,
2107,1877,Mastercard,Debit,5260255791659840,May-24,428,YES,2,$6940,Mar-06,2009,,
2398,1877,Mastercard,Debit,5911939393457820,Mar-24,410,YES,2,$23408,Apr-96,2008,,
5414,1877,Visa,Credit,4226284680001630,Sep-22,966,YES,2,$9700,Nov-04,2007,,
3758,668,Mastercard,Debit,5624997997810580,Jun-24,992,NO,2,$10538,Jul-06,2006,,
4097,668,Mastercard,Debit,5752209560237460,Mar-23,385,YES,2,$6853,Aug-01,2006,,
5778,668,Mastercard,Debit,5470018669871080,Oct-20,598,YES,2,$607,Dec-02,2010,,
4318,668,Mastercard,Credit,5764603958082860,Aug-21,397,YES,1,$0,Aug-10,2010,,
5015,668,Visa,Debit,4378354586828460,Jun-21,644,YES,2,$8253,Oct-04,2011,,
750,533,Visa,Debit,4415203972868490,Sep-20,847,YES,2,$8492,Jan-20,2020,,
242,203,Visa,Credit,4716309780327850,Jul-22,275,YES,1,$9100,Jan-10,2010,,
3966,203,Mastercard,Credit,5175414290540890,Apr-22,497,NO,2,$2600,Jul-11,2011,,
5375,203,Mastercard,Credit,5079431552272490,May-24,813,NO,1,$7300,Nov-02,2010,,
5166,1738,Visa,Credit,4841586209388610,Aug-20,207,YES,1,$15000,Oct-09,2009,,
1472,1738,Mastercard,Credit,5133341979041600,Apr-24,497,YES,2,$18700,Feb-20,2020,,
751,1738,Visa,Debit,4044685132149960,May-21,579,YES,1,$21458,Jan-20,2020,,
5623,1738,Visa,Credit,4825181289428260,Apr-20,635,NO,1,$15700,Nov-10,2014,,
6099,713,Mastercard,Debit,5533057740649370,Jan-20,13,YES,2,$20765,Dec-14,2014,,
1473,713,Mastercard,Debit,5137811039972620,Jun-22,170,NO,2,$18101,Feb-20,2020,,
1775,713,Visa,Credit,4409545480052950,Nov-24,528,YES,1,$8400,Feb-20,2020,,
447,713,Mastercard,Debit,5169705466479210,Mar-20,66,YES,1,$1737,Jan-20,2020,,
1474,1631,Mastercard,Credit,5782138554730430,Feb-20,217,YES,2,$20900,Feb-20,2020,,
1776,1631,Visa,Credit,4450097042295690,Nov-21,601,YES,1,$23700,Feb-20,2020,,
448,1631,Mastercard,Credit,5298079382002760,Nov-21,989,YES,1,$17500,Jan-20,2020,,
5978,1487,Visa,Debit,4911894810892310,Jun-24,769,YES,1,$26083,Dec-09,2009,,
2978,1487,Visa,Debit,4394014058373530,Oct-22,943,YES,1,$31589,May-08,2008,,
4946,1487,Visa,Credit,4984110253172320,Jun-21,453,YES,2,$24200,Oct-00,2013,,
1475,1265,Mastercard,Debit,5658875071888530,Feb-20,190,YES,2,$18321,Feb-20,2020,,
5376,370,Mastercard,Debit,5377126168537130,Oct-22,94,YES,2,$7551,Nov-02,2010,,
4127,370,Mastercard,Debit,5606824501502070,Jun-14,451,YES,1,$15377,Aug-04,2011,,
5093,370,Visa,Debit,4501704511432200,Mar-23,324,YES,1,$12990,Oct-07,2016,,
3490,370,Visa,Debit,4015096339812700,Feb-23,494,YES,1,$8509,Jun-10,2010,,
5702,1014,Visa,Debit,4467199760802870,Nov-14,176,YES,1,$96907,Nov-14,2014,,
2200,1014,Visa,Credit,4081474027835140,Jul-15,45,YES,1,$43900,Mar-08,2013,,
5436,1014,Visa,Debit (Prepaid),4868297041449160,Oct-20,440,YES,2,$76,Nov-05,2007,,
449,290,Mastercard,Debit,5843714671989150,Jan-20,533,YES,2,$50915,Jan-20,2020,,
1777,290,Visa,Debit,4052306795072860,Dec-21,369,YES,2,$31767,Feb-20,2020,,
3862,985,Visa,Credit,4229889369220690,Apr-24,82,YES,2,$13200,Jul-08,2010,,
1268,985,Mastercard,Credit,5936949471946670,Oct-22,372,YES,2,$16000,Feb-11,2012,,
752,985,Visa,Debit,4748458102584200,Jul-24,223,YES,2,$18132,Jan-20,2020,,
2704,985,Visa,Credit,4862788591864790,Feb-19,466,YES,1,$300,Apr-12,2012,,
2808,135,Mastercard,Debit,5736838327060440,Nov-22,714,YES,2,$2236,May-00,2015,,
4791,135,Visa,Debit,4528854599819260,Aug-19,451,YES,2,$21591,Sep-10,2010,,
1476,307,Mastercard,Debit,5956798767354530,Apr-20,927,YES,2,$11521,Feb-20,2020,,
753,307,Visa,Credit,4949830998579620,Jun-20,561,NO,1,$8600,Jan-20,2020,,
4112,1783,Amex,Credit,323782494048404,Mar-20,659,YES,1,$9800,Aug-03,2010,,
1154,1783,Visa,Credit,4172882144788970,Mar-12,902,YES,2,$11300,Feb-08,2009,,
2598,1783,Mastercard,Credit,5153494647482340,Oct-19,492,YES,1,$8400,Apr-09,2011,,
10,1783,Mastercard,Debit,5513208341097350,Dec-23,789,YES,1,$16597,Jan-99,2009,,
4655,1783,Amex,Credit,316138720673532,Sep-20,876,YES,2,$9400,Sep-08,2008,,
5908,1321,Visa,Debit,4709941855155410,Dec-08,122,YES,1,$18702,Dec-07,2007,,
3357,1511,Visa,Debit,4725438629956460,Jun-22,675,YES,1,$24806,Jun-07,2007,,
5502,1511,Visa,Debit,4992990568824240,May-23,457,YES,1,$19856,Nov-07,2011,,
1238,900,Visa,Debit (Prepaid),4580252759299280,Feb-21,397,YES,2,$68,Feb-10,2010,,
3412,900,Amex,Credit,347103137777594,Dec-22,791,YES,2,$4900,Jun-09,2009,,
1477,953,Mastercard,Debit,5779387577644600,Feb-22,421,YES,1,$13390,Feb-20,2020,,
1396,953,Amex,Credit,343258769247986,Nov-24,210,YES,3,$8400,Feb-20,2020,,
1297,233,Amex,Credit,374396421501669,Mar-24,659,YES,2,$13700,Feb-12,2012,,
3605,406,Discover,Credit,6308795344040910,Nov-24,205,YES,2,$4200,Jun-16,2016,,
5167,1069,Visa,Debit,4439832703761210,Aug-20,424,YES,2,$2292,Oct-09,2015,,
3922,1069,Amex,Credit,304372446656131,Mar-21,495,YES,1,$8800,Jul-10,2010,,
5453,180,Mastercard,Credit,5881384408371200,Mar-23,312,NO,2,$7600,Nov-06,2009,,
2888,180,Visa,Credit,4966727954053970,Nov-21,756,YES,2,$6200,May-05,2018,,
3208,996,Mastercard,Credit,5784959743819570,Jul-23,348,YES,1,$12900,Jun-99,2011,,
4661,996,Mastercard,Debit,5617375085275810,Jun-22,228,YES,2,$18820,Sep-08,2015,,
3277,996,Visa,Debit,4813292561037470,Jul-05,979,YES,2,$16167,Jun-04,2009,,
